id	project_id	captured_date	created_date	type	software_version_id	device_id	event_info
563656	367	2021-05-29 08:11:00+00	2021-05-30 03:54:35.060042+00	heartbeat	4358	6674	"{""metrics"": {""battery_perc"": 698, ""i2c_accel_ms"": 43776, ""cpu_active_ms"": 48826, ""charge_time_ms"": 0, ""flash_bytes_read"": 100362, ""cpu_deep_sleep_ms"": 35951173, ""battery_perc_delta"": 6, ""flash_bytes_written"": 10091, ""flash_sector_erases"": 0, ""i2c_accel_samples_read"": 36000, ""mem_heap_remaining_bytes"": 13046, ""main_task_stack_unused_bytes"": 612}}"
563657	367	2021-05-29 09:11:00+00	2021-05-29 13:16:46.869476+00	heartbeat	4358	6674	"{""metrics"": {""battery_perc"": 691, ""i2c_accel_ms"": 38883, ""cpu_active_ms"": 39940, ""charge_time_ms"": 0, ""flash_bytes_read"": 100177, ""cpu_deep_sleep_ms"": 35960059, ""battery_perc_delta"": 5, ""flash_bytes_written"": 10010, ""flash_sector_erases"": 0, ""i2c_accel_samples_read"": 36000, ""mem_heap_remaining_bytes"": 13046, ""main_task_stack_unused_bytes"": 612}}"
563658	367	2021-05-29 10:11:00+00	2021-05-29 23:33:15.129346+00	heartbeat	4358	6674	"{""metrics"": {""battery_perc"": 685, ""i2c_accel_ms"": 36755, ""cpu_active_ms"": 47519, ""charge_time_ms"": 0, ""flash_bytes_read"": 100473, ""cpu_deep_sleep_ms"": 35952480, ""battery_perc_delta"": 6, ""flash_bytes_written"": 10001, ""flash_sector_erases"": 0, ""i2c_accel_samples_read"": 36000, ""mem_heap_remaining_bytes"": 12951, ""main_task_stack_unused_bytes"": 605}}"
563659	367	2021-05-29 11:11:00+00	2021-05-30 02:15:24.343925+00	heartbeat	4358	6674	"{""metrics"": {""battery_perc"": 679, ""i2c_accel_ms"": 32881, ""cpu_active_ms"": 44076, ""charge_time_ms"": 0, ""flash_bytes_read"": 100796, ""cpu_deep_sleep_ms"": 35955923, ""battery_perc_delta"": 6, ""flash_bytes_written"": 10097, ""flash_sector_erases"": 0, ""i2c_accel_samples_read"": 36000, ""mem_heap_remaining_bytes"": 12884, ""main_task_stack_unused_bytes"": 605}}"
563660	367	2021-05-29 12:11:00+00	2021-05-30 06:41:59.677664+00	heartbeat	4358	6674	"{""metrics"": {""battery_perc"": 672, ""i2c_accel_ms"": 28312, ""cpu_active_ms"": 39520, ""charge_time_ms"": 0, ""flash_bytes_read"": 100423, ""cpu_deep_sleep_ms"": 35960479, ""battery_perc_delta"": 5, ""flash_bytes_written"": 10081, ""flash_sector_erases"": 0, ""i2c_accel_samples_read"": 36000, ""mem_heap_remaining_bytes"": 12884, ""main_task_stack_unused_bytes"": 605}}"
563661	367	2021-05-29 13:11:00+00	2021-05-30 08:40:27.084341+00	heartbeat	4358	6674	"{""metrics"": {""battery_perc"": 667, ""i2c_accel_ms"": 53820, ""cpu_active_ms"": 56086, ""charge_time_ms"": 0, ""flash_bytes_read"": 100459, ""cpu_deep_sleep_ms"": 35943913, ""battery_perc_delta"": 7, ""flash_bytes_written"": 10079, ""flash_sector_erases"": 1, ""i2c_accel_samples_read"": 36000, ""mem_heap_remaining_bytes"": 12717, ""main_task_stack_unused_bytes"": 605}}"
563662	367	2021-05-29 14:11:00+00	2021-05-29 14:54:04.998098+00	heartbeat	4358	6674	"{""metrics"": {""battery_perc"": 659, ""i2c_accel_ms"": 50967, ""cpu_active_ms"": 61311, ""charge_time_ms"": 0, ""flash_bytes_read"": 100674, ""cpu_deep_sleep_ms"": 35938688, ""battery_perc_delta"": 8, ""flash_bytes_written"": 10013, ""flash_sector_erases"": 1, ""i2c_accel_samples_read"": 36000, ""mem_heap_remaining_bytes"": 12507, ""main_task_stack_unused_bytes"": 605}}"
563663	367	2021-05-29 15:11:00+00	2021-05-29 22:02:39.854658+00	heartbeat	4358	6674	"{""metrics"": {""battery_perc"": 651, ""i2c_accel_ms"": 34364, ""cpu_active_ms"": 39964, ""charge_time_ms"": 0, ""flash_bytes_read"": 100449, ""cpu_deep_sleep_ms"": 35960035, ""battery_perc_delta"": 5, ""flash_bytes_written"": 10060, ""flash_sector_erases"": 0, ""i2c_accel_samples_read"": 36000, ""mem_heap_remaining_bytes"": 12507, ""main_task_stack_unused_bytes"": 512}}"
563664	367	2021-05-29 16:11:00+00	2021-05-30 00:28:45.634559+00	heartbeat	4358	6674	"{""metrics"": {""battery_perc"": 645, ""i2c_accel_ms"": 50411, ""cpu_active_ms"": 58630, ""charge_time_ms"": 0, ""flash_bytes_read"": 100198, ""cpu_deep_sleep_ms"": 35941369, ""battery_perc_delta"": 8, ""flash_bytes_written"": 10092, ""flash_sector_erases"": 1, ""i2c_accel_samples_read"": 36000, ""mem_heap_remaining_bytes"": 12319, ""main_task_stack_unused_bytes"": 512}}"
563665	367	2021-05-29 17:11:00+00	2021-05-30 14:12:59.154957+00	heartbeat	4358	6674	"{""metrics"": {""battery_perc"": 637, ""i2c_accel_ms"": 37964, ""cpu_active_ms"": 50259, ""charge_time_ms"": 0, ""flash_bytes_read"": 100093, ""cpu_deep_sleep_ms"": 35949740, ""battery_perc_delta"": 6, ""flash_bytes_written"": 10064, ""flash_sector_erases"": 0, ""i2c_accel_samples_read"": 36000, ""mem_heap_remaining_bytes"": 12201, ""main_task_stack_unused_bytes"": 512}}"
